state,player,mcts_distribution
"[1, 2, 3, 4]",1,"[('1000', 0.12060301507537688), ('0100', 0.07537688442211055), ('0200', 0.06030150753768844), ('0010', 0.07035175879396985), ('0020', 0.06532663316582915), ('0030', 0.11557788944723618), ('0001', 0.1306532663316583), ('0002', 0.22613065326633167), ('0003', 0.12060301507537688), ('0004', 0.01507537688442211)]"
"[1, 2, 3, 2]",-1,"[('1000', 0.04878048780487805), ('0100', 0.15853658536585366), ('0200', 0.0975609756097561), ('0010', 0.04878048780487805), ('0020', 0.2804878048780488), ('0030', 0.04878048780487805), ('0001', 0.06097560975609756), ('0002', 0.25609756097560976)]"
"[1, 2, 1, 2]",1,"[('1000', 0.13157894736842105), ('0100', 0.10526315789473684), ('0200', 0.18421052631578946), ('0010', 0.2631578947368421), ('0001', 0.13157894736842105), ('0002', 0.18421052631578946)]"
"[1, 2, 0, 2]",-1,"[('1000', 0.125), ('0100', 0.5), ('0200', 0.25), ('0001', 0.0625), ('0002', 0.0625)]"
"[1, 1, 0, 2]",1,"[('1000', 0.25), ('0100', 0.0625), ('0001', 0.625), ('0002', 0.0625)]"
"[1, 1, 0, 1]",-1,"[('1000', 0.3333333333333333), ('0100', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 1, 0, 1]",1,"[('0100', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.18090452261306533), ('0100', 0.02512562814070352), ('0200', 0.05527638190954774), ('0010', 0.2914572864321608), ('0020', 0.02512562814070352), ('0030', 0.11557788944723618), ('0001', 0.1457286432160804), ('0002', 0.01507537688442211), ('0003', 0.05527638190954774), ('0004', 0.09045226130653267)]"
"[1, 2, 2, 4]",-1,"[('1000', 0.20238095238095238), ('0100', 0.11904761904761904), ('0200', 0.10714285714285714), ('0010', 0.023809523809523808), ('0020', 0.14285714285714285), ('0001', 0.023809523809523808), ('0002', 0.23809523809523808), ('0003', 0.023809523809523808), ('0004', 0.11904761904761904)]"
"[1, 2, 2, 2]",1,"[('1000', 0.40625), ('0100', 0.0625), ('0200', 0.03125), ('0010', 0.15625), ('0020', 0.15625), ('0001', 0.15625), ('0002', 0.03125)]"
"[0, 2, 2, 2]",-1,"[('0100', 0.045454545454545456), ('0200', 0.3181818181818182), ('0010', 0.045454545454545456), ('0020', 0.22727272727272727), ('0001', 0.13636363636363635), ('0002', 0.22727272727272727)]"
"[0, 0, 2, 2]",1,"[('0010', 0.2), ('0020', 0.4), ('0001', 0.2), ('0002', 0.2)]"
"[1, 2, 3, 4]",1,"[('1000', 0.0670391061452514), ('0100', 0.08379888268156424), ('0200', 0.027932960893854747), ('0010', 0.0670391061452514), ('0020', 0.03910614525139665), ('0030', 0.12849162011173185), ('0001', 0.1787709497206704), ('0002', 0.1787709497206704), ('0003', 0.2122905027932961), ('0004', 0.01675977653631285)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.24561403508771928), ('0100', 0.14035087719298245), ('0200', 0.03508771929824561), ('0010', 0.08771929824561403), ('0020', 0.12280701754385964), ('0030', 0.14035087719298245), ('0001', 0.22807017543859648)]"
"[0, 2, 3, 1]",1,"[('0100', 0.2903225806451613), ('0200', 0.16129032258064516), ('0010', 0.06451612903225806), ('0020', 0.25806451612903225), ('0030', 0.12903225806451613), ('0001', 0.0967741935483871)]"
"[0, 1, 3, 1]",-1,"[('0100', 0.0625), ('0010', 0.1875), ('0020', 0.625), ('0030', 0.0625), ('0001', 0.0625)]"
"[0, 1, 1, 1]",1,"[('0100', 0.3333333333333333), ('0010', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 0, 1, 1]",-1,"[('0010', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.13675213675213677), ('0100', 0.042735042735042736), ('0200', 0.10256410256410256), ('0010', 0.23076923076923078), ('0020', 0.017094017094017096), ('0030', 0.017094017094017096), ('0001', 0.017094017094017096), ('0002', 0.06837606837606838), ('0003', 0.29914529914529914), ('0004', 0.06837606837606838)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.28), ('0100', 0.04), ('0200', 0.04), ('0010', 0.08), ('0020', 0.14), ('0030', 0.04), ('0001', 0.38)]"
"[1, 2, 3, 0]",1,"[('1000', 0.1111111111111111), ('0100', 0.05555555555555555), ('0200', 0.2777777777777778), ('0010', 0.3333333333333333), ('0020', 0.1111111111111111), ('0030', 0.1111111111111111)]"
"[1, 2, 2, 0]",-1,"[('1000', 0.4166666666666667), ('0100', 0.08333333333333333), ('0200', 0.08333333333333333), ('0010', 0.3333333333333333), ('0020', 0.08333333333333333)]"
"[0, 2, 2, 0]",1,"[('0100', 0.2), ('0200', 0.4), ('0010', 0.2), ('0020', 0.2)]"
"[1, 2, 3, 4]",1,"[('1000', 0.035398230088495575), ('0100', 0.035398230088495575), ('0200', 0.035398230088495575), ('0010', 0.035398230088495575), ('0020', 0.10619469026548672), ('0030', 0.21238938053097345), ('0001', 0.19469026548672566), ('0002', 0.05309734513274336), ('0003', 0.25663716814159293), ('0004', 0.035398230088495575)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.37037037037037035), ('0100', 0.09876543209876543), ('0200', 0.14814814814814814), ('0010', 0.024691358024691357), ('0020', 0.09876543209876543), ('0030', 0.024691358024691357), ('0001', 0.2345679012345679)]"
"[0, 2, 3, 1]",1,"[('0100', 0.35294117647058826), ('0200', 0.11764705882352941), ('0010', 0.058823529411764705), ('0020', 0.058823529411764705), ('0030', 0.23529411764705882), ('0001', 0.17647058823529413)]"
"[0, 1, 3, 1]",-1,"[('0100', 0.2222222222222222), ('0010', 0.1111111111111111), ('0020', 0.5555555555555556), ('0030', 0.05555555555555555), ('0001', 0.05555555555555555)]"
"[0, 1, 1, 1]",1,"[('0100', 0.3333333333333333), ('0010', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 0, 1, 1]",-1,"[('0010', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.017857142857142856), ('0100', 0.11607142857142858), ('0200', 0.017857142857142856), ('0010', 0.13392857142857142), ('0020', 0.11607142857142858), ('0030', 0.07142857142857142), ('0001', 0.1875), ('0002', 0.0625), ('0003', 0.10714285714285714), ('0004', 0.16964285714285715)]"
"[1, 2, 3, 3]",-1,"[('1000', 0.017543859649122806), ('0100', 0.09941520467836257), ('0200', 0.04093567251461988), ('0010', 0.30409356725146197), ('0020', 0.07017543859649122), ('0030', 0.05263157894736842), ('0001', 0.34502923976608185), ('0002', 0.05263157894736842), ('0003', 0.017543859649122806)]"
"[1, 2, 3, 2]",1,"[('1000', 0.06451612903225806), ('0100', 0.25806451612903225), ('0200', 0.1935483870967742), ('0010', 0.06451612903225806), ('0020', 0.0967741935483871), ('0030', 0.16129032258064516), ('0001', 0.12903225806451613), ('0002', 0.03225806451612903)]"
"[1, 1, 3, 2]",-1,"[('1000', 0.21794871794871795), ('0100', 0.24358974358974358), ('0010', 0.11538461538461539), ('0020', 0.08974358974358974), ('0030', 0.02564102564102564), ('0001', 0.15384615384615385), ('0002', 0.15384615384615385)]"
"[1, 0, 3, 2]",1,"[('1000', 0.07692307692307693), ('0010', 0.11538461538461539), ('0020', 0.3076923076923077), ('0030', 0.15384615384615385), ('0001', 0.3076923076923077), ('0002', 0.038461538461538464)]"
"[1, 0, 1, 2]",-1,"[('1000', 0.11764705882352941), ('0010', 0.23529411764705882), ('0001', 0.5882352941176471), ('0002', 0.058823529411764705)]"
"[1, 0, 1, 1]",1,"[('1000', 0.3333333333333333), ('0010', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 0, 1, 1]",-1,"[('0010', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.035175879396984924), ('0100', 0.2864321608040201), ('0200', 0.05025125628140704), ('0010', 0.16080402010050251), ('0020', 0.15577889447236182), ('0030', 0.04020100502512563), ('0001', 0.02512562814070352), ('0002', 0.06532663316582915), ('0003', 0.05527638190954774), ('0004', 0.12562814070351758)]"
"[1, 1, 3, 4]",-1,"[('1000', 0.22330097087378642), ('0100', 0.1941747572815534), ('0010', 0.0970873786407767), ('0020', 0.019417475728155338), ('0030', 0.038834951456310676), ('0001', 0.05825242718446602), ('0002', 0.1553398058252427), ('0003', 0.10679611650485436), ('0004', 0.10679611650485436)]"
"[0, 1, 3, 4]",1,"[('0100', 0.15151515151515152), ('0010', 0.09090909090909091), ('0020', 0.06060606060606061), ('0030', 0.21212121212121213), ('0001', 0.09090909090909091), ('0002', 0.06060606060606061), ('0003', 0.2727272727272727), ('0004', 0.06060606060606061)]"
"[0, 1, 3, 1]",-1,"[('0100', 0.13333333333333333), ('0010', 0.06666666666666667), ('0020', 0.6666666666666666), ('0030', 0.06666666666666667), ('0001', 0.06666666666666667)]"
"[0, 1, 1, 1]",1,"[('0100', 0.3333333333333333), ('0010', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 0, 1, 1]",-1,"[('0010', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.022988505747126436), ('0100', 0.022988505747126436), ('0200', 0.20689655172413793), ('0010', 0.022988505747126436), ('0020', 0.022988505747126436), ('0030', 0.16091954022988506), ('0001', 0.09195402298850575), ('0002', 0.022988505747126436), ('0003', 0.40229885057471265), ('0004', 0.022988505747126436)]"
"[1, 2, 3, 1]",-1,"[('1000', 0.0425531914893617), ('0100', 0.0425531914893617), ('0200', 0.2553191489361702), ('0010', 0.0425531914893617), ('0020', 0.0425531914893617), ('0030', 0.2127659574468085), ('0001', 0.3617021276595745)]"
"[1, 2, 3, 0]",1,"[('1000', 0.045454545454545456), ('0100', 0.045454545454545456), ('0200', 0.13636363636363635), ('0010', 0.5), ('0020', 0.045454545454545456), ('0030', 0.22727272727272727)]"
"[1, 2, 2, 0]",-1,"[('1000', 0.1111111111111111), ('0100', 0.2222222222222222), ('0200', 0.2222222222222222), ('0010', 0.3888888888888889), ('0020', 0.05555555555555555)]"
